Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,1:08:00 PM,Ewallet,522.83,4.761904762,26.1415,9.1
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37:00 AM,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,6:30:00 PM,Ewallet,597.73,4.761904762,29.8865,4.1
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8.0
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,7:21:00 PM,Cash,713.8,4.761904762,35.69,5.7
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,4:19:00 PM,Cash,562.32,4.761904762,28.116,4.5
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03:00 AM,Credit card,482.51,4.761904762,24.1255,4.6
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43:00 PM,Cash,702.63,4.761904762,35.1315,4.5
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.512,703.752,2019-01-10,2:49:00 PM,Cash,670.24,4.761904762,33.512,5.1
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,5:17:00 PM,Ewallet,547.92,4.761904762,27.396,4.7
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,8:39:00 PM,Cash,789.6,4.761904762,39.48,7.6
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,5:24:00 PM,Credit card,510.21,4.761904762,25.5105,8.4
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,5:08:00 PM,Ewallet,826.3,4.761904762,41.315,7.9
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00 AM,Cash,639.8,4.761904762,31.99,9.5
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,7:01:00 PM,Cash,687.84,4.761904762,34.392,8.2
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00 AM,Ewallet,716.8,4.761904762,35.84,6.6
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,3:55:00 PM,Cash,723.5,4.761904762,36.175,5.4
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,1:40:00 PM,Ewallet,495.63,4.761904762,24.7815,10.0
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,3:01:00 PM,Ewallet,585.66,4.761904762,29.283,9.9
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04:00 AM,Cash,787.7,4.761904762,39.385,6.4
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00 PM,Credit card,894.8,4.761904762,44.74,9.6
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,4:19:00 PM,Cash,621.2,4.761904762,31.06,5.9
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55:00 AM,Ewallet,672.03,4.761904762,33.6015,9.4
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,4:24:00 PM,Ewallet,783.1,4.761904762,39.155,6.6
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,2:42:00 PM,Credit card,595.14,4.761904762,29.757,5.5
